Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
Allegheny Center,1,791,140,7,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,10,32,48,28,40,22,19,156,122,0,10,33,22,110,60,53,38,176,73,74,66,88,50,6,9
Allegheny West,2,283,92,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,19,0,10,9,21,6,10,0,10,0,10,0,10,35,29,15,24,10,23,18,12,25,19,121,61,12,13,13,16,6,9
Allentown,3,1611,247.7861982,14,24.49489743,0,17.32050808,0,17.32050808,6,20.61552813,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,10,22.11334439,12,25.3179778,33,28.01785145,9,21.3541565,40,33.01514804,603,174.8856769,217,117.6180258,131,63.28506933,337,122.9878043,59,43.0464865,72,50.04997503,38,28.63564213,30,29.74894956,0,17.32050808
Arlington,4,1271,224.5128059,37,39.56008089,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,6,16.76305461,0,17.32050808,25,24.10394159,19,21.67948339,35,26.72077843,31,23.85372088,15,20.61552813,439,118.3089177,116,65.61249881,74,40.6939799,251,101.2472222,124,54.3783045,84,46.17358552,13,13.03840481,2,14.69693846,0,17.32050808
Arlington Heights,5,182,108,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,12,52,52,8,11,63,96,17,19,9,14,6,9,20,26,0,10,0,10,0,10,0,10,0,10
Banksville,6,3368,390.5649754,4,19.07878403,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,7,20.51828453,33,39.3192065,106,108.1295519,46,48.16637832,0,20,867,202.7165509,90,53.12249994,172,74.45132638,357,144.9448171,366,142.3657262,718,193.7059627,504,202.7634089,98,68.41052551,0,20
Bedford Dwellings,7,674,88,21,17,0,10,0,10,0,10,0,10,10,17,0,10,0,10,0,10,0,10,0,10,0,10,29,28,61,37,6,10,259,88,102,42,31,38,81,49,37,27,37,29,0,10,0,10,0,10
Beechview,8,5834,512.7406752,111,107.373181,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,0,31.6227766,9,34,46,59.9082632,70,63.53739057,24,34.04408906,50,41.44876355,125,87.69834662,114,56.84188596,1552,284.431011,395,159.4427797,420,140.6627172,811,181.5488915,621,138.8524397,1089,223.5397056,293,98.22932352,86,63.69458376,18,41.03656906
Beltzhoover,9,1347,246.3006293,14,26.45751311,0,20,0,20,0,20,0,20,0,20,0,20,0,20,9,23.57965225,0,20,0,20,18,26.45751311,92,75.83534796,111,80.25584091,49,43.58898944,360,142.5657743,143,78.2751557,97,55.34437641,247,102.834819,77,60.34898508,50,33.64520768,80,52.31634544,0,20,0,20
Bloomfield,10,6603,431.2702169,42,32.86335345,0,31.6227766,0,31.6227766,0,31.6227766,4,30.59411708,12,28.91366459,9,30.28200786,32,41.53311931,5,31.04834939,7,29.74894956,26,34.69870315,43,46.88283268,38,33.27160952,43,40.36087214,83,41.55718951,1398,194.4196492,229,93.04837452,290,101.1978261,689,148.9630827,450,134.4693274,1704,252.7132763,1072,185.4292318,210,79.11384203,217,78.46018098
