Date,US,Pennsylvania,Pittsburgh
2017,60336,59195,58521
2016,58856,58131,57269
2015,57709,57634,55956
2014,55613,55175,54199
2013,55072,54816,54061
2012,54948,54797,54004
2011,55162,54863,53362
2010,56388,55534,52618
2009,57519,56716,53084
2008,59382,57880,54504
2007,60135,57570,54079
2006,59051,56379,52724
